FULL_CODE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
092/01/01,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,01,PARIT BAHARU BARUH,708
092/01/02,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,02,SUNGAI TENGAR UTARA,662
092/01/03,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,03,SUNGAI AIR TAWAR,1959
092/01/04,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,04,SUNGAI BERNAM,449
092/01/05,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,05,SUNGAI AIR TAWAR SELATAN,1117
092/01/06,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,06,SUNGAI TENGAR SELATAN,790
092/01/07,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,07,KAMPUNG PARIT BAHARU,1455
092/01/08,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,08,KAMPUNG TELUK BELANGA,138
092/01/09,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,09,BETING KEPAH,766
092/01/10,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,10,KAMPUNG TELUK RHU,596
092/01/11,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,11,SIMPANG EMPAT,1876
092/01/12,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,12,KAMPUNG SEKENDI,1394
092/01/13,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,13,KAMPUNG BANTING,1176
092/01/14,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,14,KAMPUNG BATU 38 BARUH,1097
092/01/15,092,SABAK BERNAM,01,SUNGAI AIR TAWAR,15,KAMPUNG BAHARU,850
092/02/01,092,SABAK BERNAM,02,SABAK,01,SABAK BERNAM BARAT,1950
092/02/02,092,SABAK BERNAM,02,SABAK,02,KAMPUNG AIR MANIS,1410
092/02/03,092,SABAK BERNAM,02,SABAK,03,KAMPUNG SERI AMAN,1723
092/02/04,092,SABAK BERNAM,02,SABAK,04,TEBUK PULAI,1113
092/02/05,092,SABAK BERNAM,02,SABAK,05,TORKINGTON,309
092/02/06,092,SABAK BERNAM,02,SABAK,06,SABAK BERNAM TIMUR,3802
092/02/07,092,SABAK BERNAM,02,SABAK,07,BAGAN NIRA,841
092/02/08,092,SABAK BERNAM,02,SABAK,08,KAMPUNG SAPINTAS,1147
092/02/09,092,SABAK BERNAM,02,SABAK,09,KAMPUNG BAGAN TERAP,1483
092/02/10,092,SABAK BERNAM,02,SABAK,10,BAGAN TERAP PARIT SEMBILAN,1153
092/02/11,092,SABAK BERNAM,02,SABAK,11,TEBUK KENCHONG,1167
092/02/12,092,SABAK BERNAM,02,SABAK,12,PARIT ENAM,1148
092/02/13,092,SABAK BERNAM,02,SABAK,13,PARIT DUA TIMUR,747
092/02/14,092,SABAK BERNAM,02,SABAK,14,PARIT TIGA & EMPAT,1143
092/02/15,092,SABAK BERNAM,02,SABAK,15,PARIT SATU BARAT,987
092/02/16,092,SABAK BERNAM,02,SABAK,16,SUNGAI LIAS,1144
092/02/17,092,SABAK BERNAM,02,SABAK,17,BATU 4 SAPINTAS,826
093/03/01,093,SUNGAI BESAR,03,SUNGAI PANJANG,01,PARIT 16 - BELIA 2,1664
093/03/02,093,SUNGAI BESAR,03,SUNGAI PANJANG,02,PARIT 13 - 15 SUNGAI PANJANG,1882
093/03/03,093,SUNGAI BESAR,03,SUNGAI PANJANG,03,PARIT 6 - 12 SUNGAI PANJANG,1311
093/03/04,093,SUNGAI BESAR,03,SUNGAI PANJANG,04,PARIT 2 - 5 SUNGAI PANJANG,948
093/03/05,093,SUNGAI BESAR,03,SUNGAI PANJANG,05,PEKAN SUNGAI BESAR,2642
093/03/06,093,SUNGAI BESAR,03,SUNGAI PANJANG,06,BAGAN SUNGAI BESAR,1566
093/03/07,093,SUNGAI BESAR,03,SUNGAI PANJANG,07,PARIT SATU TIMUR,640
093/03/08,093,SUNGAI BESAR,03,SUNGAI PANJANG,08,SUNGAI LIMAU,1269
093/03/09,093,SUNGAI BESAR,03,SUNGAI PANJANG,09,SUNGAI HAJI DORANI,2176
093/03/10,093,SUNGAI BESAR,03,SUNGAI PANJANG,10,PEKET ENAM PULUH,1070
093/03/11,093,SUNGAI BESAR,03,SUNGAI PANJANG,11,SIMPANG LIMA,1181
093/03/12,093,SUNGAI BESAR,03,SUNGAI PANJANG,12,PARIT 13 SUNGAI NIPAH,939
093/03/13,093,SUNGAI BESAR,03,SUNGAI PANJANG,13,SUNGAI NIPAH,653
093/03/14,093,SUNGAI BESAR,03,SUNGAI PANJANG,14,SUNGAI NIBONG,1289
093/03/15,093,SUNGAI BESAR,03,SUNGAI PANJANG,15,PASIR PANJANG TENGAH,1869
093/03/16,093,SUNGAI BESAR,03,SUNGAI PANJANG,16,PASIR PANJANG SELATAN,1317
093/03/17,093,SUNGAI BESAR,03,SUNGAI PANJANG,17,TAMAN BERKAT,1351
093/03/18,093,SUNGAI BESAR,03,SUNGAI PANJANG,18,PARIT 6 - 12 TIMUR,299
093/03/19,093,SUNGAI BESAR,03,SUNGAI PANJANG,19,KAMPUNG BAHARU NELAYAN,2659
093/04/01,093,SUNGAI BESAR,04,SEKINCHAN,01,SUNGAI LEMAN BENDANG UTARA,379
093/04/02,093,SUNGAI BESAR,04,SEKINCHAN,02,SUNGAI LEMAN BENDANG TENGAH,1011
093/04/03,093,SUNGAI BESAR,04,SEKINCHAN,03,SUNGAI LEMAN BENDANG SELATAN,297
093/04/04,093,SUNGAI BESAR,04,SEKINCHAN,04,SUNGAI LEMAN KAMPUNG DARAT,2089
093/04/05,093,SUNGAI BESAR,04,SEKINCHAN,05,SUNGAI LEMAN KAMPUNG LAUT,592
093/04/06,093,SUNGAI BESAR,04,SEKINCHAN,06,SEKINCHAN SELATAN,1401
093/04/07,093,SUNGAI BESAR,04,SEKINCHAN,07,SEKINCHAN TEMPATAN SELATAN,1384
