name,nama_dm,par_lama,dun_lama,state,parliament,dun,koddm,ge13_voter,2015_q3_vo
098/17/09,SRI GOMBAK 1,P098,N17,SELANGOR,GOMBAK,GOMBAK SETIA,9,3449,3570
094/06/04,KAMPUNG BAHARU CHINA K.K.B,P094,N06,SELANGOR,HULU SELANGOR,KUALA KUBU BAHARU,4,1993,1963
106/36/16,SS 21 SELATAN,P106,N36,SELANGOR,PETALING JAYA UTARA,DAMANSARA UTAMA,16,2300,2279
098/17/04,TAMAN GREENWOOD,P098,N17,SELANGOR,GOMBAK,GOMBAK SETIA,4,3176,3195
106/35/09,SS 3 TIMUR,P106,N35,SELANGOR,PETALING JAYA UTARA,KAMPUNG TUNKU,9,3257,3194
106/35/12,SUNGAI WAY TENGAH SATU,P106,N35,SELANGOR,PETALING JAYA UTARA,KAMPUNG TUNKU,12,1044,1026
096/12/17,JERAM PANTAI,P096,N12,SELANGOR,KUALA SELANGOR,JERAM,17,1043,1038
112/53/12,KANCHONG TENGAH,P112,N53,SELANGOR,KUALA LANGAT,MORIB,12,686,684
104/31/20,USJ 14 & 15,P104,N31,SELANGOR,KELANA JAYA,SUBANG JAYA,20,1786,1830
110/48/03,JALAN TENGKU KELANA,P110,N48,SELANGOR,KLANG,KOTA ALAM SHAH,3,1374,1314
102/26/07,SEKSYEN 6 BBB,P102,N26,SELANGOR,SERDANG,BANGI,7,4190,4237
101/25/09,SUNGAI CHUA DUA,P101,N25,SELANGOR,HULU LANGAT,KAJANG,9,2612,2590
101/24/16,SUNGAI KEMBUNG,P101,N24,SELANGOR,HULU LANGAT,SEMENYIH,16,1493,1488
101/24/09,RINCHING HULU,P101,N24,SELANGOR,HULU LANGAT,SEMENYIH,9,4705,4931
100/22/05,TAMAN MUDA TIMUR,P100,N22,SELANGOR,PANDAN,TERATAI,5,2475,2443
104/31/17,USJ 11,P104,N31,SELANGOR,KELANA JAYA,SUBANG JAYA,17,3669,3731
095/09/03,BATANG BERJUNTAI SATU,P095,N09,SELANGOR,TANJONG KARANG,PERMATANG,3,1718,1688
102/28/14,SERI KEMBANGAN 3,P102,N28,SELANGOR,SERDANG,SERI KEMBANGAN,14,1337,1306
094/06/03,AMPANG PECHAH,P094,N06,SELANGOR,HULU SELANGOR,KUALA KUBU BAHARU,3,2420,2455
101/23/17,TAMAN ALAM JAYA,P101,N23,SELANGOR,HULU LANGAT,DUSUN TUA,17,2712,2784
094/05/09,CHANGKAT ASA,P094,N05,SELANGOR,HULU SELANGOR,HULU BERNAM,9,557,532
109/42/03,KAMPUNG MERU,P109,N42,SELANGOR,KAPAR,MERU,3,1360,1400
112/52/08,SUNGAI MANGGIS UTARA,P112,N52,SELANGOR,KUALA LANGAT,TELUK DATUK,8,2083,2069
092/02/05,TORKINGTON,P092,N02,SELANGOR,SABAK BERNAM,SABAK,5,327,313
096/10/03,ASAM JAWA,P096,N10,SELANGOR,KUALA SELANGOR,BUKIT MELAWATI,3,1891,1934
102/28/07,SERI KEMBANGAN 9,P102,N28,SELANGOR,SERDANG,SERI KEMBANGAN,7,893,878
103/29/20,PUCHONG PERMAI,P103,N29,SELANGOR,PUCHONG,SERI SERDANG,20,4067,4246
107/37/07,DESA JAYA JALAN 20 - JALAN 38,P107,N37,SELANGOR,SUBANG,BUKIT LANJAN,7,2474,2445
101/25/04,TAMAN MESRA,P101,N25,SELANGOR,HULU LANGAT,KAJANG,4,1289,1306
098/17/07,GOMBAK SELATAN,P098,N17,SELANGOR,GOMBAK,GOMBAK SETIA,7,3867,3974
112/51/09,LADANG CAREY BARAT,P112,N51,SELANGOR,KUALA LANGAT,SIJANGKANG,9,918,894
100/22/17,CHERAS HARTAMAS,P100,N22,SELANGOR,PANDAN,TERATAI,17,513,549
